ST QUENTIN;;Verre Couleur;2288;ESSIGNY LE PETIT;ESSIGNY LE PETIT;Rue du 8 Mai 1945;E-2 S / H-3 S;P>25733;4;0,863;;;10/02/2012;12:42
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;E-1 S / H-2 S;P>25734;3;0,967;;;01/02/2012;08:08
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;E-1 S / H-2 S;P>25734;3;0,816;;;21/02/2012;11:49
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,403;;;01/02/2012;07:56
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,708;;;14/02/2012;11:40
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,878;;;21/02/2012;11:39
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,575;;;29/02/2012;07:38
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,552;;;01/02/2012;07:57
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,46;;;08/02/2012;08:09
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,489;;;14/02/2012;11:41
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,697;;;21/02/2012;11:41
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,673;;;29/02/2012;07:40
ST QUENTIN;;Verre Couleur;2310;FIEULAINE;FIEULAINE;Rue Carlier;E-2 S / H-3 S;P>25739;3;0,771;;;10/02/2012;13:01
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Grand Place (transformateur);E-2 S / H-3 S;P>25740;3;0,483;;;10/02/2012;12:54
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Rue du Commandant Guy (salle de sport);E-3 S / H-5 S;P>25741;4;0,535;;;10/02/2012;12:58
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Grande Rue;E-2 S / H-3 S;P>25742;3;0,529;;;10/02/2012;13:13
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Rue du Château (devant Mairie);E-3 S / H-4 S;P>25743;3;0,576;;;10/02/2012;13:08
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,786;;;01/02/2012;06:45
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,45;;;08/02/2012;06:50
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,697;;;14/02/2012;10:19
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;1,002;;;21/02/2012;10:37
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,837;;;29/02/2012;06:42
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,83;;;01/02/2012;06:43
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,894;;;08/02/2012;06:48
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,707;;;14/02/2012;10:18
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,736;;;21/02/2012;10:36
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,99;;;29/02/2012;06:40
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Place des sports;E-4 S / H-6 S;P>25774;4;0,886;;;02/02/2012;09:30
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Georges Herbin;E-3 S / H-4 S;P>25775;3;0,572;;;14/02/2012;10:38
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Gabriel Peri PK Maison de la culture;E-3 S / H-4 S;P>25776;3;0,624;;;02/02/2012;09:40
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Place Moulin tous vents;E-2 S / H-3 S;P>25777;4;0,795;;;08/02/2012;06:59
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Gambetta/Rue Gagarine;E-4 S / H-6 S;P>25778;3;0,522;;;02/02/2012;09:48
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;E-1 S / H-1 S impératif;P>25779;4;0,3;;;06/02/2012;10:49
