ST QUENTIN;;Verre Couleur;2142;CASTRES;CASTRES;Rue du Fort;96;P>25770;3;0,928;;;17/01/2013;07:39
ST QUENTIN;;Verre Couleur;2214;CONTESCOURT;CONTESCOURT;Rue de l'école;97;P>25771;3;0,845;;;17/01/2013;07:48
ST QUENTIN;;Verre Couleur;2288;ESSIGNY LE PETIT;ESSIGNY LE PETIT;Rue du 8 Mai 1945;98;P>25733;4;1,099;;;04/01/2013;06:55
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;99;P>25734;3;1,019;;;02/01/2013;11:57
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;1,15;;;02/01/2013;11:46
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;145;P>29297;4;1,07;;;02/01/2013;11:49
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;0,812;;;09/01/2013;06:49
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;145;P>29297;4;0,687;;;09/01/2013;06:54
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;99;P>25734;3;0,682;;;17/01/2013;09:02
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;145;P>29297;4;0,565;;;17/01/2013;10:28
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;0,71;;;22/01/2013;09:14
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;0,632;;;30/01/2013;08:38
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;145;P>29297;4;1,012;;;30/01/2013;08:39
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;99;P>25734;3;0,453;;;30/01/2013;08:50
ST QUENTIN;;Verre Couleur;2310;FIEULAINE;FIEULAINE;Rue Carlier;101;P>25739;3;1,115;;;04/01/2013;07:15
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Rue du Commandant Guy (salle de sport);234;P>25741;4;0,868;;;04/01/2013;07:03
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Grand Place (transformateur);102;P>25740;3;0,855;;;04/01/2013;07:08
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Rue du Château (devant Mairie);104;P>25743;3;0,88;;;04/01/2013;07:26
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Grande Rue;103;P>25742;3;1,005;;;04/01/2013;07:30
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25772;4;0,949;;;02/01/2013;09:50
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25773;4;0,962;;;02/01/2013;09:55
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Place des sports;106;P>25774;4;0,752;;;02/01/2013;10:17
