ST QUENTIN;;Verre Couleur;2142;CASTRES;CASTRES;Rue du Fort;E-2 S / H-6 S;P>25770;3;0,838;;;10/05/2012;16:26
ST QUENTIN;;Verre Couleur;2288;ESSIGNY LE PETIT;ESSIGNY LE PETIT;Rue du 8 Mai 1945;E-2 S / H-3 S;P>25733;4;0,789;;;11/05/2012;06:48
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;E-1 S / H-2 S;P>25734;3;0,89;;;10/05/2012;08:06
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;E-1 S / H-2 S;P>25734;3;0,874;;;29/05/2012;08:15
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,703;;;10/05/2012;08:31
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,93;;;23/05/2012;06:13
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,641;;;29/05/2012;08:05
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;1,293;;;10/05/2012;08:33
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,972;;;23/05/2012;06:15
ST QUENTIN;;Verre Couleur;2310;FIEULAINE;FIEULAINE;Rue Carlier;E-2 S / H-3 S;P>25739;3;0,849;;;11/05/2012;07:07
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Grand Place (transformateur);E-2 S / H-3 S;P>25740;3;0,985;;;31/05/2012;06:59
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Rue du Commandant Guy (salle de sport);E-3 S / H-5 S;P>25741;4;0,937;;;11/05/2012;06:56
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Grande Rue;E-2 S / H-3 S;P>25742;3;0,921;;;11/05/2012;07:17
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Rue du Château (devant Mairie);E-3 S / H-4 S;P>25743;3;0,945;;;31/05/2012;06:47
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,746;;;03/05/2012;11:41
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,983;;;07/05/2012;14:29
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,908;;;16/05/2012;05:56
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,728;;;22/05/2012;15:00
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;1,164;;;29/05/2012;06:00
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,948;;;07/05/2012;14:30
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,978;;;16/05/2012;05:54
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;0,85;;;22/05/2012;14:58
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25773;3;1,184;;;29/05/2012;06:05
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Georges Herbin;E-3 S / H-4 S;P>25775;3;0,838;;;10/05/2012;15:55
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Place Moulin tous vents;E-2 S / H-3 S;P>25777;4;0,948;;;10/05/2012;16:02
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Gambetta/Rue Gagarine;E-4 S / H-6 S;P>25778;3;1,12;;;29/05/2012;07:22
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;E-1 S / H-1 S impératif;P>25779;4;0,808;;;02/05/2012;13:55
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;E-1 S / H-1 S impératif;P>25779;4;0,582;;;14/05/2012;10:31
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;E-1 S / H-1 S impératif;P>25779;4;0,676;;;21/05/2012;15:01
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;E-1 S / H-1 S impératif;P>25779;4;0,438;;;29/05/2012;07:49
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Paul Langevin / Place 8 mai 1945;E-1 S / H-2 S;P>25781;3;0,566;;;10/05/2012;05:44
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Paul Langevin / Place 8 mai 1945;E-1 S / H-2 S;P>25781;3;0,733;;;22/05/2012;15:09
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Pk Brico Cash Rue Auguste;E-1 S / H-2 S;P>25782;4;0,969;;;03/05/2012;11:32
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Pk Brico Cash Rue Auguste;E-1 S / H-2 S;P>25782;4;0,989;;;16/05/2012;06:06
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Pk Brico Cash Rue Auguste;E-1 S / H-2 S;P>25782;4;0,872;;;29/05/2012;07:31
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Square de l'amitié;E-3 S / H-6 S;P>25783;4;1,006;;;29/05/2012;07:15
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,605;;;02/05/2012;13:56
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,664;;;07/05/2012;14:47
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,769;;;14/05/2012;10:30
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,687;;;21/05/2012;15:00
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;1 sem;P>31031;3;0,687;;;29/05/2012;07:48
ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Rue d'Ile de France dérrière Eglise;E-3 S / H-4 S;P>25784;3;0,838;;;10/05/2012;16:16
ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Route du pont;E-2 S / H-3 S;P>25785;4;0,921;;;10/05/2012;16:09
ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Route du pont;;P>29784;3;1,285;;;10/05/2012;16:11
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Rue de Picardie;E-3 S / H-4 S;P>25754;3;0,482;;;18/05/2012;09:50
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Rue du Marais;E-4 S / H-6 S;P>25755;4;1,277;;;31/05/2012;05:50
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,96;;;03/05/2012;10:44
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;1,097;;;10/05/2012;15:36
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;1,059;;;18/05/2012;09:39
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,388;;;23/05/2012;08:36
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;0,662;;;29/05/2012;09:40
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25757;4;1,329;;;31/05/2012;05:41
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,73;;;03/05/2012;10:45
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,678;;;10/05/2012;15:37
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,738;;;18/05/2012;09:41
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25758;3;0,98;;;31/05/2012;05:38
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,739;;;03/05/2012;10:46
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,833;;;10/05/2012;15:33
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,562;;;18/05/2012;09:37
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,775;;;23/05/2012;08:34
ST QUENTIN;;Verre Couleur;2371;HARLY;HARLY;Leclerc;E-1 S / H-1 S;P>25759;3;0,971;;;31/05/2012;05:39
