ST QUENTIN;;Verre Couleur;2288;ESSIGNY LE PETIT;ESSIGNY LE PETIT;Rue du 8 Mai 1945;98;P>25733;4;0,826;;;06/02/2013;09:56
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;0,629;;;06/02/2013;08:34
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;0,515;;;13/02/2013;07:12
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;145;P>29297;4;0,856;;;13/02/2013;07:16
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;99;P>25734;3;0,872;;;20/02/2013;07:33
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;0,617;;;20/02/2013;07:23
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;145;P>29297;4;0,422;;;20/02/2013;07:26
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);145;P>25737;3;0,346;;;27/02/2013;07:00
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;145;P>29297;4;0,351;;;27/02/2013;07:01
ST QUENTIN;;Verre Couleur;2310;FIEULAINE;FIEULAINE;Rue Carlier;101;P>25739;3;0,806;;;07/02/2013;09:09
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Grand Place (transformateur);102;P>25740;3;0,658;;;07/02/2013;09:20
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Grande Rue;103;P>25742;3;0,821;;;07/02/2013;09:33
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;178;P>31031;3;0,63;;;04/02/2013;12:19
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;178;P>25779;4;0,442;;;04/02/2013;12:16
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25773;4;1,096;;;06/02/2013;07:02
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25772;4;1,128;;;06/02/2013;07:04
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Pk Brico Cash Rue Auguste;105;P>25782;4;0,769;;;06/02/2013;07:13
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Paul Langevin / Place 8 mai 1945;111;P>25781;3;0,94;;;06/02/2013;07:41
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;178;P>31031;3;0,575;;;11/02/2013;09:35
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25772;4;0,868;;;13/02/2013;06:30
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25773;4;0,537;;;13/02/2013;06:32
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Square de l'amitié;154;P>25783;4;1,15;;;14/02/2013;06:45
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Place Moulin tous vents;109;P>25777;4;1,134;;;14/02/2013;06:55
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;178;P>31031;3;0,729;;;19/02/2013;14:00
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;178;P>25779;4;0,284;;;19/02/2013;14:01
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25772;4;0,881;;;20/02/2013;05:50
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;179;P>25773;4;0,895;;;20/02/2013;05:55
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Rue Paul Langevin / Place 8 mai 1945;111;P>25781;3;0,903;;;20/02/2013;06:38
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Pk Brico Cash Rue Auguste;105;P>25782;4;0,916;;;20/02/2013;06:00
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Déchetterie route de chauny;178;P>31031;3;0,299;;;25/02/2013;08:32
ST QUENTIN;;Verre Couleur;2359;GRUGIES;GRUGIES;Route du pont;141;P>25785;4;1,185;;;06/02/2013;07:23
