ST QUENTIN;;Verre Couleur;2142;CASTRES;CASTRES;Rue du Fort;E-2 S / H-6 S;P>25770;3;0,784;;;18/01/2012;07:05
ST QUENTIN;;Verre Couleur;2288;ESSIGNY LE PETIT;ESSIGNY LE PETIT;Rue du 8 Mai 1945;E-2 S / H-3 S;P>25733;4;0,965;;;13/01/2012;14:35
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;E-1 S / H-2 S;P>25734;3;0,795;;;11/01/2012;08:33
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,671;;;04/01/2012;08:20
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,7;;;11/01/2012;08:18
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,784;;;25/01/2012;08:22
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;1,228;;;11/01/2012;08:20
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,693;;;18/01/2012;08:38
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;0,597;;;25/01/2012;08:24
ST QUENTIN;;Verre Couleur;2310;FIEULAINE;FIEULAINE;Rue Carlier;E-2 S / H-3 S;P>25739;3;1,001;;;13/01/2012;14:11
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Grand Place (transformateur);E-2 S / H-3 S;P>25740;3;0,879;;;13/01/2012;14:19
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Rue du Commandant Guy (salle de sport);E-3 S / H-5 S;P>25741;4;1,336;;;13/01/2012;14:26
