Verre Couleur;;2142;CASTRES;CASTRES;;Rue du Fort;96;P>25770;3;0,849;;;01/03/2013;06:50
Verre Couleur;;2288;ESSIGNY LE PETIT;ESSIGNY LE PETIT;;Rue du 8 Mai 1945;98;P>25733;4;0,894;;;07/03/2013;09:43
Verre Couleur;;2303;FAYET;FAYET;;Chemin Vert;99;P>25734;3;0,515;;;06/03/2013;07:08
Verre Couleur;;2303;FAYET;FAYET;;Auchan (accés Fayet);145;P>25737;3;0,579;;;06/03/2013;06:58
Verre Couleur;;2303;FAYET;FAYET;;AUCHAN;145;P>29297;4;0,548;;;06/03/2013;07:03
Verre Couleur;;2303;FAYET;FAYET;;Auchan (accés Fayet);145;P>25737;3;0,515;;;14/03/2013;10:40
Verre Couleur;;2303;FAYET;FAYET;;Chemin Vert;99;P>25734;3;0,499;;;20/03/2013;09:05
Verre Couleur;;2303;FAYET;FAYET;;Auchan (accés Fayet);145;P>25737;3;0,611;;;20/03/2013;08:47
Verre Couleur;;2303;FAYET;FAYET;;Rue Henri Matisse Domaine St Jacques;188;P>26944;4;1,163;;;20/03/2013;08:58
Verre Couleur;;2303;FAYET;FAYET;;AUCHAN;145;P>29297;4;0,901;;;20/03/2013;08:49
Verre Couleur;;2303;FAYET;FAYET;;Auchan (accés Fayet);145;P>25737;3;0,488;;;27/03/2013;08:02
Verre Couleur;;2303;FAYET;FAYET;;AUCHAN;145;P>29297;4;0,632;;;27/03/2013;08:03
Verre Couleur;;2310;FIEULAINE;FIEULAINE;;Rue Carlier;101;P>25739;3;0,665;;;07/03/2013;10:20
Verre Couleur;;2319;FONSOMMES;FONSOMMES;;Grand Place (transformateur);102;P>25740;3;0,569;;;07/03/2013;09:30
Verre Couleur;;2319;FONSOMMES;FONSOMMES;;Rue du Commandant Guy (salle de sport);234;P>25741;4;0,645;;;07/03/2013;09:35
Verre Couleur;;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;;Grande Rue;103;P>25742;3;0,822;;;07/03/2013;09:21
Verre Couleur;;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;;Rue du Château (devant Mairie);104;P>25743;3;0,899;;;07/03/2013;10:28
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25772;4;1,016;;;01/03/2013;06:20
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25773;4;1,032;;;01/03/2013;06:21
Verre Couleur;;2340;GAUCHY;GAUCHY;;Rue Georges Herbin;107;P>25775;3;0,859;;;01/03/2013;07:20
Verre Couleur;;2340;GAUCHY;GAUCHY;;Déchetterie route de chauny;178;P>25779;4;0,557;;;04/03/2013;07:01
Verre Couleur;;2340;GAUCHY;GAUCHY;;Déchetterie route de chauny;178;P>31031;3;0,65;;;04/03/2013;07:00
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25772;4;0,807;;;06/03/2013;05:41
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25773;4;0,682;;;06/03/2013;05:42
Verre Couleur;;2340;GAUCHY;GAUCHY;;Rue Paul Langevin / Place 8 mai 1945;111;P>25781;3;0,779;;;06/03/2013;06:15
Verre Couleur;;2340;GAUCHY;GAUCHY;;Pk Brico Cash Rue Auguste;105;P>25782;4;1,055;;;06/03/2013;06:07
Verre Couleur;;2340;GAUCHY;GAUCHY;;Déchetterie route de chauny;178;P>31031;3;0,992;;;11/03/2013;08:02
Verre Couleur;;2340;GAUCHY;GAUCHY;;Déchetterie route de chauny;178;P>25779;4;0,516;;;11/03/2013;08:04
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25772;4;1,097;;;14/03/2013;08:08
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25773;4;0,73;;;14/03/2013;08:06
Verre Couleur;;2340;GAUCHY;GAUCHY;;Place Moulin tous vents;109;P>25777;4;1,112;;;14/03/2013;08:17
Verre Couleur;;2340;GAUCHY;GAUCHY;;Déchetterie route de chauny;178;P>31031;3;0,629;;;18/03/2013;10:06
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25772;4;0,678;;;20/03/2013;07:06
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25773;4;0,64;;;20/03/2013;07:04
Verre Couleur;;2340;GAUCHY;GAUCHY;;Rue Voltaire;153;P>26940;3;0,572;;;20/03/2013;07:17
Verre Couleur;;2340;GAUCHY;GAUCHY;;Place des sports;106;P>25774;4;1,047;;;20/03/2013;07:50
Verre Couleur;;2340;GAUCHY;GAUCHY;;Rue Paul Langevin / Place 8 mai 1945;111;P>25781;3;0,678;;;20/03/2013;08:07
Verre Couleur;;2340;GAUCHY;GAUCHY;;Pk Brico Cash Rue Auguste;105;P>25782;4;0,911;;;20/03/2013;08:00
Verre Couleur;;2340;GAUCHY;GAUCHY;;Déchetterie route de chauny;178;P>31031;3;0,502;;;25/03/2013;10:23
Verre Couleur;;2340;GAUCHY;GAUCHY;;Déchetterie route de chauny;178;P>25779;4;1,126;;;25/03/2013;10:23
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25772;4;0,95;;;27/03/2013;06:56
Verre Couleur;;2340;GAUCHY;GAUCHY;;Intermarché;179;P>25773;4;1,002;;;27/03/2013;06:55
Verre Couleur;;2359;GRUGIES;GRUGIES;;Route du pont;141;P>25785;4;0,425;;;01/03/2013;06:40
Verre Couleur;;2359;GRUGIES;GRUGIES;;Route du pont;141;P>29784;3;0,542;;;01/03/2013;06:45
Verre Couleur;;2359;GRUGIES;GRUGIES;;Rue d'Ile de France dérrière Eglise;113;P>25784;3;0,531;;;01/03/2013;07:00
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;182;P>26751;3;0,604;;;04/03/2013;11:05
Verre Couleur;;2371;HARLY;HARLY;;Rue de Picardie;114;P>25754;3;0,699;;;06/03/2013;09:38
Verre Couleur;;2371;HARLY;HARLY;;Rue du Marais;115;P>25755;4;0,657;;;06/03/2013;09:35
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25757;4;0,399;;;06/03/2013;09:41
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25758;4;0,666;;;06/03/2013;09:42
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25759;4;0,94;;;06/03/2013;09:43
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25757;4;0,824;;;15/03/2013;07:22
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25758;4;0,63;;;15/03/2013;07:24
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25757;4;0,941;;;18/03/2013;10:06
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25757;4;0,766;;;20/03/2013;10:42
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25759;4;0,838;;;20/03/2013;10:39
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25758;4;0,794;;;28/03/2013;09:33
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25759;4;1,138;;;28/03/2013;09:34
Verre Couleur;;2371;HARLY;HARLY;;Leclerc;117;P>25757;4;0,972;;;28/03/2013;09:35
Verre Couleur;;2383;HOMBLIERES;HOMBLIERES;;Rue Aimé Gosset;120;P>25761;4;1,064;;;15/03/2013;07:38
Verre Couleur;;2383;HOMBLIERES;HOMBLIERES;;Rue de Bellevue (salle polyvalente);119;P>25760;4;0,811;;;28/03/2013;07:40
Verre Couleur;;2383;HOMBLIERES;HOMBLIERES;;Rue Aimé Gosset;120;P>25761;4;0,821;;;28/03/2013;07:44
Verre Couleur;;2383;HOMBLIERES;HOMBLIERES;;Rue Sainte Huneguonde;121;P>25762;4;1,224;;;28/03/2013;08:00
Verre Couleur;;2420;LESDINS;LESDINS;;Rue de Picardie;125;P>25744;4;0,674;;;06/03/2013;07:57
Verre Couleur;;2420;LESDINS;LESDINS;;Rue de touraine (le long du canal);187;P>25745;3;0,715;;;06/03/2013;07:52
Verre Couleur;;2420;LESDINS;LESDINS;;Rue de Picardie;125;P>25744;4;0,781;;;27/03/2013;09:04
Verre Couleur;;2420;LESDINS;LESDINS;;Rue de touraine (le long du canal);187;P>25745;3;0,565;;;27/03/2013;08:58
Verre Couleur;;2459;MARCY;MARCY;;Rue Florent Montigny Mairie;137;P>25764;3;0,645;;;07/03/2013;09:12
Verre Couleur;;2481;MESNIL ST LAURENT;MESNIL ST LAURENT;;Rue Sainte Camione;123;P>25767;3;0,928;;;07/03/2013;10:46
Verre Couleur;;2525;MORCOURT;MORCOURT;;Rue du Commandant Guy (terrain de foot);128;P>25746;3;0,894;;;07/03/2013;09:54
Verre Couleur;;2549;NEUVILLE ST AMAND;NEUVILLE ST AMAND;;Rue de la Fere;127;P>25786;4;0,906;;;20/03/2013;07:40
Verre Couleur;;2549;NEUVILLE ST AMAND;NEUVILLE ST AMAND;;Place de la Mairie;129;P>25788;3;0,974;;;20/03/2013;07:30
Verre Couleur;;2571;OMISSY;OMISSY;;Déchetterie;181;P>25750;4;0,552;;;06/03/2013;09:16
Verre Couleur;;2571;OMISSY;OMISSY;;Déchetterie;181;P>31032;3;0,498;;;06/03/2013;09:17
Verre Couleur;;2571;OMISSY;OMISSY;;Déchetterie;181;P>25750;4;0,8;;;20/03/2013;10:20
Verre Couleur;;2637;REMAUCOURT;REMAUCOURT;;Rue de l'église;132;P>25753;3;0,939;;;07/03/2013;10:05
Verre Couleur;;2659;ROUVROY;ROUVROY;;Route de ST Quentin;133;P>25769;3;0,718;;;06/03/2013;09:25
Verre Couleur;;2659;ROUVROY;ROUVROY;;Route de ST Quentin;133;P>25769;3;0,875;;;28/03/2013;08:11
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Av Faidherbe;27;P>25725;3;0,289;;;04/03/2013;07:36
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue de Baudreuil;16;P>25723;3;0,301;;;04/03/2013;08:47
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN;;Angle J Blanchot / L lemaire face crèche;195;P>33899;3;0,372;;;04/03/2013;07:25
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place du GI Floy;1;P>25711;3;0,383;;;04/03/2013;08:17
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Bvd Roosevelt PORTEUR;17;P>25688;3;0,394;;;04/03/2013;10:02
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue de Baudreuil;16;P>25722;3;0,467;;;04/03/2013;08:23
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue des Suzannes;14;P>25720;3;0,474;;;04/03/2013;09:23
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue Michelet;10;P>25718;3;0,484;;;04/03/2013;09:49
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Angle rue collette (LIDL) Richepin FND;85;P>25643;3;0,495;;;04/03/2013;10:21
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Paris (face au 105) Rue de Ham;22;P>25656;3;0,507;;;04/03/2013;10:41
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Peronne mairie PORTEUR;23;P>25657;3;0,517;;;04/03/2013;10:56
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bd Gambetta (face CIO);12;P>25719;3;0,566;;;04/03/2013;07:41
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue des Cannonniers;142;P>25729;3;0,577;;;04/03/2013;09:01
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Square Quentin de la Tour (Basilique);15;P>25721;3;0,584;;;04/03/2013;09:56
Verre Couleur;;2691;ST QUENTIN;ST QUENTIIN SUD EST;;Rue Charles Foucault;50;P>25636;3;0,594;;;04/03/2013;10:32
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place de la Liberté;8;P>25716;3;0,659;;;04/03/2013;07:55
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue du Petit Origny (place du marché);4;P>25714;4;0,669;;;04/03/2013;09:36
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Alfred Clin (hors Heures scolaires);36;P>25682;3;0,837;;;04/03/2013;10:10
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de la Chaussée romaine (école);61;P>25664;4;0,778;;;06/03/2013;06:50
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue du Dr Cordier/Allée des Tilleuls;63;P>25666;4;0,788;;;06/03/2013;06:40
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Av du Cimetière de la Tombelle;177;P>25676;4;0,82;;;06/03/2013;06:34
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;CORA (parking);41;P>25683;3;0,721;;;06/03/2013;08:43
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;CORA (parking);41;P>25684;4;0,935;;;06/03/2013;08:44
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue de Champagne;147;P>25686;3;0,809;;;06/03/2013;07:22
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av R Schuman/Rue G Pompidou;39;P>25689;3;0,717;;;06/03/2013;08:08
Verre Couleur;;2691;ST QUENTIN;SAINT QUENTIN;;Caserne pompiers collecte avec J Bouin;196 (MOVEA 800L);P>34580;1;0,068;;;06/03/2013;08:12
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Bd J Bouin (Pompier);42;P>25690;3;0,515;;;06/03/2013;09:05
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av du Gle de Gaulle;46;P>25694;4;0,781;;;06/03/2013;08:56
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av R Schuman (SIMPLY MARKET);82;P>25706;3;0,3;;;06/03/2013;08:16
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Rue Poete;152;P>25707;3;0,62;;;06/03/2013;08:24
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av de la République (face au n° 29);165;P>25710;3;0,485;;;06/03/2013;08:31
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN;;Parking rue Leon Lemaire;87;P>29127;4;0,722;;;11/03/2013;08:12
Verre Couleur;;2691;ST QUENTIN;St Quentin;;Rue Francois Miterrand;24;P>29120;3;0,321;;;11/03/2013;08:41
Verre Couleur;;2691;ST QUENTIN;SAINT QUENTIN CENTRE;;Avenue Faidherbe (bas);193;P>30778;4;0,335;;;11/03/2013;08:52
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bd de Richelieu (angle rue des Glacis);30;P>25726;3;0,824;;;11/03/2013;09:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bd Gambetta (face au n°1) en haut;9;P>25717;3;0,846;;;11/03/2013;09:12
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bvd Henri Martin;26;P>25724;3;0,62;;;11/03/2013;09:26
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place de la Liberté;8;P>25716;3;0,732;;;11/03/2013;09:41
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue A Gibert/Rue Renan;5;P>25715;4;0,528;;;11/03/2013;09:52
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue de Baudreuil;16;P>25723;3;0,538;;;11/03/2013;10:00
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue des Etats Généraux;2;P>25712;3;0,551;;;11/03/2013;10:05
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue du Petit Origny (place du marché);4;P>25714;4;0,859;;;11/03/2013;10:12
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue Varlet;3;P>25713;3;0,413;;;11/03/2013;10:26
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Bvd Roosevelt PORTEUR;17;P>25688;3;0,743;;;11/03/2013;10:35
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Théophile Gautier PORTEUR;29;P>25678;4;0,757;;;11/03/2013;10:46
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Angle rue collette (LIDL) Richepin FND;85;P>25643;3;0,424;;;11/03/2013;10:52
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Av Léo Lagrange;48;P>25634;3;0,344;;;11/03/2013;11:00
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Place Carnot;49;P>25635;3;0,435;;;11/03/2013;11:07
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Rue d'Ostende;54;P>25638;3;0,73;;;14/03/2013;08:41
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Bd du Maréchal Juin (bas);55;P>25639;4;0,699;;;14/03/2013;08:46
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Bd du Maréchal Juin (haut);57;P>25640;3;0,755;;;14/03/2013;08:52
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Rue de la Fère (NETTO);135;P>25648;4;0,857;;;14/03/2013;09:01
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Bd Cordier;163;P>25650;3;0,954;;;14/03/2013;08:33
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Bd du Dr Camille Guérin;164;P>25651;3;0,663;;;14/03/2013;08:27
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Bd de Verdun;140;P>25654;4;0,924;;;14/03/2013;10:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Déchetterie (Rue A Parmentier) Vidam;60;P>27069;3;0,51;;;14/03/2013;10:28
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Déchetterie (Rue A Parmentier) Vidam;60;P>25661;3;0,551;;;14/03/2013;10:30
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Déchetterie (Rue A Parmentier) Vidam;60;P>25662;3;0,592;;;14/03/2013;10:25
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Déchetterie (Rue A Parmentier) Vidam;60;P>25663;3;0,847;;;14/03/2013;10:27
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Angle Av Me François Hugues/Accacias;62;P>25665;3;0,658;;;14/03/2013;10:09
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Paris / Face au stade de foot;170;P>25669;3;0,648;;;14/03/2013;09:53
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue Alexandre Dumas (park face ED);25;P>25671;4;0,653;;;14/03/2013;10:18
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue J Falloux (salle des aviateurs);161;P>25673;3;0,572;;;14/03/2013;09:37
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue Georges Sand;162;P>25674;3;0,434;;;14/03/2013;09:47
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Grande Rue;175;P>25675;3;0,755;;;14/03/2013;09:21
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Place du 87 RI Rue Thiers;28;P>25677;3;0,48;;;14/03/2013;11:17
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Place du 87 RI Rue Thiers;28;P>28483;3;0,592;;;14/03/2013;11:16
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;CORA (parking);41;P>25683;3;0,918;;;14/03/2013;11:31
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;CORA (parking);41;P>25684;4;0,434;;;14/03/2013;11:33
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Fayet (angle R. JY Cousteau);68;P>25685;3;0,541;;;14/03/2013;11:05
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue des Valenciennes;169;P>25687;4;1,112;;;14/03/2013;10:55
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av R Schuman (SIMPLY MARKET);82;P>25706;3;0,287;;;14/03/2013;11:46
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Rue Boileau/Rue H Barbusse;79;P>25703;3;0,595;;;15/03/2013;07:55
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Rue Boileau/Rue G St Hilaire;80;P>25704;3;0,54;;;15/03/2013;08:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av de la République (face au n° 29);165;P>25710;3;0,365;;;15/03/2013;08:11
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Rue du Cdt G Bieler;45;P>25693;3;0,475;;;15/03/2013;08:16
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Av du Gle de Gaulle;46;P>25694;4;0,7;;;15/03/2013;08:24
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN;;Rue Raoul Huguet face au n° 12 (bas);194;P>33898;3;0,585;;;15/03/2013;08:46
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Rue Raoul Huguet;88;P>25645;3;0,799;;;15/03/2013;08:51
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Rue J Blanchot;89;P>25646;4;1,123;;;15/03/2013;08:58
Verre Couleur;;2691;ST QUENTIN;SAINT QUENTIN;;Dans l'Hopital rue fayet (platef dechets;190;P>29649;3;0,869;;;18/03/2013;10:41
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN;;Angle J Blanchot / L lemaire face crèche;195;P>33899;3;0,454;;;18/03/2013;07:57
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Av Faidherbe;27;P>25725;3;0,605;;;18/03/2013;09:30
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Bd Gambetta (face CIO);12;P>25719;3;0,728;;;18/03/2013;10:24
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place de la Liberté;8;P>25716;3;0,453;;;18/03/2013;09:58
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Place du GI Floy;1;P>25711;3;0,522;;;18/03/2013;09:39
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue de Baudreuil;16;P>25722;3;0,455;;;18/03/2013;08:31
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue des Cannonniers;142;P>25729;3;0,52;;;18/03/2013;09:35
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue des Suzannes;14;P>25720;3;0,455;;;18/03/2013;08:15
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue du Petit Origny (place du marché);4;P>25714;4;0,942;;;18/03/2013;08:54
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue Felix Faure (CRS 21);18;P>25728;4;1,167;;;18/03/2013;09:49
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Rue Michelet;10;P>25718;3;0,363;;;18/03/2013;08:19
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN CENTRE;;Square Quentin de la Tour (Basilique);15;P>25721;3;0,618;;;18/03/2013;08:32
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN EST;;Bvd Roosevelt PORTEUR;17;P>25688;3;0,357;;;18/03/2013;08:27
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN NORD;;Rue Alfred Clin (hors Heures scolaires);36;P>25682;3;0,863;;;18/03/2013;09:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Angle rue collette (LIDL) Richepin FND;85;P>25643;3;0,269;;;18/03/2013;08:03
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Peronne mairie PORTEUR;23;P>25657;3;0,63;;;18/03/2013;09:19
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD EST;;Rue de la Fère (face n°22);51;P>25637;4;1,224;;;20/03/2013;06:37
Verre Couleur;;2691;ST QUENTIN;ST QUENTIN SUD OUEST;;Rue de Paris (ALDI);92;P>25668;3;0,596;;;20/03/2013;08:23
