"DECHETERIE OUEST";"RUE A.PARMENTIER";85,476;109
CORA;PARKING;77,414;93
"RUE DU PETIT ORIGNY";"PLACE DU MARCHE";46,31;54
"AV GENERAL DE GAULLE";;40,195;54
"RUE DE BAUDREUIL";;36,311;59
"PLACE LIBERTE";;36,271;55
"RUE LEON LEMAIRE";"PARKING ZONE COMMERC";35,775;71
"PLACE DU QUATRE VINGT SEPTIEME R.I.";;31,286;46
"RUE DE VALENCIENNES";;29,46;29
"BVD ROOSEVELT";;27,418;54
"AV DE LA REPUBLIQUE";"FACE AU N°29";26,847;35
"RUE DE LA CHAUSSEE ROMAINE";"PLACE TRICOTEAUX";26,168;28
"AV FAIDHERBE";HAUT;25,084;41
"AV DES FUSILLES";"FONTAINE NOTRE DAME";23,166;34
"AV ROBERT SCHUMAN";"SIMPLY MARKET";22,567;35
"BVD GAMBETTA";"FACE AU N°1";22,356;30
"RUE DE LA FERE";NETTO;21,514;28
"RUE ALEXANDRE DUMAS";;21,419;34
"BVD GAMBETTA";"FACE AU C.I.O";20,979;27
"BVD RICHELIEU";"FACE LYCEE H.MARTIN";20,649;29
"RUE DES SUZANNES";;20,468;29
"RUE ALFRED CLIN";SQUARE;20,45;28
"RUE DU CDT GUY BIELER";"FACE AU GYMNASE";20,075;29
"BVD DU MARECHAL JUIN";HAUT;19,988;26
"RUE DE GUISE";WC;19,802;30
"SQ QUENTIN DE LA TOUR";BASILIQUE;19,711;27
"RUE DES CANONNIERS";;17,907;26
"RUE DE HAM";"MAIRIE ANNEXE";17,654;27
"BVD CORDIER";"FACE AU N°107";17,221;22
"RUE POETE";;16,537;23
"BVD JEAN BOUIN (CAMPING)";CAMPING;16,503;25
"RUE D'OSTENDE";;16,475;25
"RUE JACQUES BLANCHOT";"ECOLE B. ROUCHE";16,233;19
"AV FRANCOISE HUGUES";"RUE DES ACACIAS";16,221;24
"RUE DU DOCTEUR CORDIER";"ALLEE DES TILLEULS";15,15;16
"RUE ARTHUR GIBERT";"RUE RENAN";14,515;18
"RUE MICHELET";;14,421;23
"RUE DE FAYET";"ANGLE RUE JACQUES-YV";14,397;19
"PLACE DU GENERAL FOY";;14,303;24
"BVD DU DR CAMILLE GUERIN";"A COTE DU COCTEAU";13,563;19
"BVD HENRI MARTIN";;13,242;22
"RUE DE PARIS";ALDI;13,016;21
"RUE DE PARIS";"RUE DU GENERAL DEBEN";12,96;15
"RUE DES ANCIENS COMBATTANTS D'A.F.N";"PARKING FACE STADE";12,939;16
"RUE GEORGES BRASSENS";;12,866;17
"RUE DE PARIS";"TERRAIN DE FOOT";12,42;18
"RUE DE LA CHAUSSEE ROMAINE";;12,395;15
"AV CIMETIERE DE LA TOMBELLE";"PRÈS DU CIMETIERE";11,795;16
"RUE THEOPHILE GAUTHIER";"CENTRE H.MATISSE";11,578;19
"AV ROBERT SCHUMAN";"RUE G.POMPIDOU";11,035;15
"RUE BOILEAU";"RUE H BARBUSSE";10,863;16
"RUE JEAN FALLOUX";"SALLE DES AVIATEURS";10,813;16
"BVD DU MARECHAL JUIN";BAS;10,81;13
"RUE DU PRESIDENT J.F.K";ALDI;10,658;18
"AV LEO LAGRANGE";;10,123;21
"AV ROBERT SCHUMAN";"CENTRE SOCIAL EUROPE";9,644;13
"RUE DE LA FERE";"FACE AU N°22";9,486;12
"RUE HENRY DUNANT";"AMBROISE PARE";9,441;15
"RUE RAOUL HUGUET";;9,206;13
"GRAND RUE";OESTRES;9,17;12
"RUE BOILEAU";"RUE G.ST HILAIRE";9,156;15
"RUE CHARLES DE FOUCAULT";;9,074;19
"RUE DES ETATS GENERAUX";;8,934;18
"JARDINS OUVRIERS (ROUTE D 675 VERS OMISSY)";;8,874;10
"CHEMIN SAINT LAURENT";;8,775;14
"BVD JEAN BOUIN";POMPIER;8,505;12
"RUE DE LA FERE";"PARKING PRES DE NETTO";8,486;12
"AV ARISTIDE BRIAND";"RUE Q. BARRE";8,289;10
"RUE VARLET";;7,927;13
"CHEMIN D'ITANCOURT";;7,442;10
"RUE BOILEAU";"IMPASSE ENTRE 18 ET ";7,402;11
"RUE DE PARIS";"FACE N°105";7,346;13
"RAMPE SAINT-PRIX";;7,304;10
"AV DE LA RESISTANCE";;7;9
"RUE AMPERE";;6,634;9
"RUE DU CDT CHARCOT";"MAURICE RAVEL";6,217;8
"PLACE CARNOT";;5,941;14
"RUE DE CHAMPAGNE";"CENTRE SOCIAL ARTOIS";5,734;8
"RUE JACQUES BLANCHOT";"FACE CRECHE MUNICIPALE";5,458;11
"AV DE LA TOMBELLE";"RUE DE HAM";5,441;8
"RUE GEORGE SAND";;5,259;8
"RUE DE LA FERE";FRITERIE;5,099;8
"AV FAIDHERBE";BAS;4,993;12
"RUE D'ALEMBERT";;4,541;6
"RUE RAOUL HUGUET";"FACE AU N°12";4,269;7
"RUE FRANCOIS MITTERRAND";;4,03;7
"RUE MICHEL DE L'HOPITAL";"PLATE-FORME DECHETS";3,772;5
"RUE LAMARTINE";BUL;2,591;6
"RUE MICHEL DE L'HOPITAL";CUISINES;2,563;4
"RUE DU CAPITAINE DUMONT";;2,34;4
"BVD VICTOR HUGO";"MAISON DE RETRAITE";2,235;4
"CHEMIN DE MORCOURT";"LYCEE COLARD NOEL";1,95;2
"RUE FELIX FAURE";"CRS 21";1,507;2
"PLACE ANDRE BAUDEZ";"GARE SNCF";,764;1
