ST QUENTIN;;Verre Couleur;2142;CASTRES;CASTRES;Rue du Fort;E-3 S / H-6 S;P>25770;3;0,919;;;20/06/2012;06:00
ST QUENTIN;;Verre Couleur;2288;ESSIGNY LE PETIT;ESSIGNY LE PETIT;Rue du 8 Mai 1945;E-2 S / H-3 S;P>25733;4;1,095;;;13/06/2012;07:37
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Chemin Vert;E-2 S / H-2 S;P>25734;3;0,922;;;21/06/2012;07:06
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;0,748;;;06/06/2012;07:46
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;Auchan (accés Fayet);E-1 S / H-1 S;P>25737;3;1,035;;;21/06/2012;06:56
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;1,067;;;06/06/2012;07:48
ST QUENTIN;;Verre Couleur;2303;FAYET;FAYET;AUCHAN;E-1 S / H-1 S;P>29297;4;1,215;;;21/06/2012;06:57
ST QUENTIN;;Verre Couleur;2310;FIEULAINE;FIEULAINE;Rue Carlier;E-2 S / H-3 S;P>25739;3;1,029;;;13/06/2012;08:17
ST QUENTIN;;Verre Couleur;2319;FONSOMMES;FONSOMMES;Rue du Commandant Guy (salle de sport);E-3 S / H-5 S;P>25741;4;1,041;;;13/06/2012;07:51
ST QUENTIN;;Verre Couleur;2322;FONTAINE NOTRE DAME;FONTAINE NOTRE DAME;Grande Rue;E-2 S / H-3 S;P>25742;3;1,083;;;13/06/2012;08:34
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,927;;;06/06/2012;06:06
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,808;;;13/06/2012;05:27
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,752;;;20/06/2012;05:40
ST QUENTIN;;Verre Couleur;2340;GAUCHY;GAUCHY;Intermarché;E-1 S / H-1 S;P>25772;3;0,721;;;27/06/2012;05:38
